IN_IPOPT,IN_NLP
0.077,0.007
0.003,0.0
0.017,0.002
0.018,0.002
0.016,0.001
0.011,0.001
0.023,0.002
0.018,0.002
0.016,0.002
0.015,0.002
0.019,0.002
0.012,0.001
0.016,0.002
0.021,0.002
0.012,0.001
0.019,0.001
0.023,0.002
0.014,0.001
0.015,0.001
0.018,0.001
0.021,0.002
0.017,0.001
0.019,0.002
0.025,0.002
0.014,0.001
0.018,0.001
0.022,0.002
0.022,0.002
0.018,0.001
0.024,0.002
0.02,0.002
0.017,0.001
0.025,0.002
0.023,0.002
0.013,0.001
0.014,0.001
0.022,0.002
0.021,0.002
0.013,0.001
0.022,0.002
0.016,0.001
0.022,0.002
0.021,0.002
0.014,0.001
0.022,0.002
0.019,0.002
0.02,0.002
0.023,0.002
0.021,0.002
0.025,0.002
0.019,0.002
0.022,0.002
