IN_IPOPT,IN_NLP
0.165,0.0
0.13,0.001
0.03,0.002
0.042,0.002
0.046,0.002
0.025,0.001
0.041,0.001
0.042,0.001
0.036,0.001
0.039,0.002
0.045,0.002
0.029,0.001
0.036,0.001
0.045,0.001
0.029,0.001
0.036,0.001
0.045,0.002
0.028,0.001
0.039,0.002
0.032,0.002
0.041,0.001
0.036,0.001
0.04,0.001
0.043,0.001
0.03,0.001
0.035,0.001
0.042,0.002
0.047,0.002
0.034,0.001
0.055,0.003
0.046,0.002
0.034,0.001
0.052,0.002
0.051,0.002
0.029,0.001
0.036,0.002
0.061,0.003
0.05,0.002
0.043,0.001
0.057,0.002
0.035,0.001
0.054,0.002
0.052,0.002
0.041,0.002
0.051,0.002
0.049,0.002
0.047,0.002
0.054,0.002
0.046,0.002
0.049,0.002
0.049,0.002
0.051,0.003
