IN_IPOPT,IN_NLP
0.082,0.017
0.002,0.001
0.019,0.004
0.018,0.004
0.016,0.003
0.015,0.003
0.017,0.004
0.017,0.004
0.016,0.003
0.016,0.003
0.018,0.003
0.013,0.003
0.017,0.004
0.021,0.004
0.012,0.003
0.016,0.003
0.021,0.005
0.015,0.003
0.016,0.003
0.017,0.004
0.017,0.003
0.018,0.004
0.025,0.005
0.021,0.005
0.014,0.003
0.018,0.004
0.02,0.004
0.021,0.004
0.017,0.004
0.025,0.005
0.022,0.005
0.014,0.003
0.024,0.005
0.018,0.003
0.014,0.003
0.017,0.004
0.024,0.005
0.018,0.004
0.017,0.004
0.022,0.005
0.015,0.003
0.02,0.004
0.022,0.005
0.017,0.003
0.021,0.005
0.022,0.005
0.023,0.005
0.024,0.005
0.018,0.004
0.023,0.005
0.024,0.005
0.022,0.005
