IN_IPOPT,IN_NLP
0.083,0.128
0.005,0.004
0.017,0.023
0.02,0.033
0.02,0.029
0.016,0.022
0.022,0.032
0.015,0.024
0.012,0.022
0.018,0.027
0.019,0.03
0.015,0.022
0.015,0.028
0.017,0.028
0.013,0.021
0.016,0.024
0.017,0.029
0.015,0.023
0.012,0.021
0.014,0.022
0.016,0.025
0.013,0.022
0.015,0.025
0.018,0.029
0.013,0.021
0.014,0.023
0.013,0.026
0.016,0.025
0.013,0.022
0.014,0.026
0.015,0.025
0.013,0.022
0.015,0.025
0.018,0.029
0.012,0.021
0.014,0.025
0.017,0.028
0.014,0.022
0.015,0.026
0.015,0.026
0.014,0.023
0.02,0.031
0.016,0.026
0.015,0.024
0.02,0.031
0.139,0.155
0.014,0.025
0.02,0.031
0.014,0.024
0.02,0.036
0.017,0.027
0.014,0.021
