IN_IPOPT,IN_NLP
0.288,0.02
0.006,0.0
0.222,0.02
0.129,0.013
0.119,0.013
0.152,0.016
0.136,0.01
0.134,0.011
0.151,0.012
0.131,0.01
0.109,0.008
0.111,0.009
0.117,0.009
0.101,0.008
0.121,0.01
0.115,0.009
0.1,0.009
0.099,0.008
0.081,0.007
0.074,0.006
0.068,0.006
0.072,0.006
0.077,0.006
0.067,0.006
0.064,0.005
0.065,0.006
0.064,0.006
0.045,0.003
0.057,0.006
0.047,0.004
0.045,0.004
0.051,0.005
0.056,0.005
0.048,0.004
0.044,0.004
0.072,0.006
0.055,0.005
0.053,0.004
0.052,0.004
0.049,0.004
0.054,0.004
0.054,0.005
0.043,0.004
0.042,0.004
0.046,0.004
0.042,0.004
0.04,0.004
0.052,0.005
0.049,0.004
0.054,0.005
0.049,0.004
0.047,0.005
0.043,0.004
0.045,0.004
0.044,0.004
0.041,0.004
0.04,0.004
0.041,0.003
0.038,0.004
0.04,0.004
0.043,0.004
0.043,0.004
0.039,0.003
0.043,0.004
0.044,0.004
0.046,0.004
0.042,0.004
0.043,0.004
0.044,0.004
0.042,0.004
0.042,0.004
0.043,0.004
0.043,0.004
0.043,0.004
0.041,0.004
0.045,0.004
0.041,0.004
0.042,0.004
0.04,0.003
0.049,0.004
0.045,0.003
0.048,0.004
0.052,0.005
0.049,0.004
0.058,0.005
