IN_IPOPT,IN_NLP
0.115,0.218
0.003,0.003
0.045,0.093
0.048,0.096
0.036,0.077
0.042,0.078
0.031,0.06
0.035,0.065
0.041,0.08
0.031,0.061
0.042,0.075
0.029,0.052
0.032,0.058
0.03,0.056
0.029,0.053
0.036,0.081
0.031,0.066
0.032,0.073
0.027,0.06
0.032,0.064
0.042,0.083
0.033,0.065
0.028,0.054
0.027,0.056
0.034,0.064
0.027,0.054
0.025,0.046
0.025,0.049
0.027,0.052
0.023,0.048
0.025,0.047
0.021,0.038
0.028,0.055
0.022,0.046
0.02,0.041
0.026,0.049
0.025,0.048
0.022,0.045
0.024,0.044
0.022,0.044
0.016,0.037
0.02,0.042
0.017,0.032
0.017,0.032
0.017,0.036
0.014,0.031
0.019,0.037
0.016,0.029
0.015,0.028
0.017,0.032
0.015,0.038
0.015,0.032
0.016,0.033
0.016,0.033
0.018,0.034
0.017,0.035
0.019,0.035
0.017,0.034
0.017,0.031
0.017,0.034
0.019,0.032
0.02,0.033
0.019,0.033
0.021,0.032
0.02,0.033
0.017,0.035
0.017,0.033
0.014,0.03
0.014,0.032
0.016,0.032
0.014,0.032
0.017,0.032
0.016,0.033
0.014,0.031
0.017,0.033
0.015,0.032
0.016,0.033
0.018,0.033
0.019,0.033
0.017,0.031
0.022,0.044
0.02,0.043
0.018,0.043
0.015,0.03
0.022,0.048
