IN_IPOPT,IN_NLP
0.068,0.434
0.047,0.311
0.056,0.341
0.054,0.324
0.041,0.274
0.043,0.281
0.04,0.271
0.044,0.249
0.04,0.26
0.038,0.233
0.039,0.219
0.043,0.228
0.039,0.241
0.041,0.243
0.038,0.233
0.036,0.231
0.033,0.215
0.035,0.229
0.032,0.188
0.036,0.209
0.041,0.251
0.044,0.227
0.034,0.196
0.038,0.24
0.039,0.252
0.035,0.225
0.029,0.176
0.03,0.187
0.031,0.207
0.031,0.191
0.032,0.18
0.026,0.161
0.036,0.222
0.026,0.182
0.024,0.157
0.03,0.21
0.029,0.197
0.028,0.182
0.029,0.183
0.027,0.179
0.025,0.158
0.024,0.177
0.021,0.139
0.019,0.135
0.022,0.146
0.02,0.125
0.023,0.157
0.019,0.123
0.018,0.115
0.019,0.135
0.02,0.133
0.021,0.136
0.021,0.137
0.022,0.136
0.021,0.137
0.022,0.14
0.024,0.133
0.024,0.137
0.02,0.137
0.02,0.135
0.02,0.128
0.02,0.136
0.022,0.135
0.021,0.136
0.021,0.136
0.023,0.147
0.021,0.134
0.018,0.125
0.02,0.136
0.021,0.135
0.018,0.136
0.02,0.133
0.022,0.137
0.021,0.138
0.022,0.148
0.024,0.138
0.026,0.137
0.023,0.145
0.021,0.136
0.021,0.137
0.029,0.18
0.028,0.181
0.026,0.176
0.019,0.126
0.028,0.185
