IN_IPOPT,IN_NLP
0.282,0.003
0.155,0.002
0.467,0.041
0.149,0.03
0.195,0.029
0.208,0.031
0.234,0.031
0.267,0.037
0.232,0.032
0.251,0.036
0.206,0.03
0.185,0.027
0.191,0.028
0.186,0.029
0.17,0.024
0.186,0.029
0.188,0.028
0.162,0.025
0.129,0.022
0.136,0.022
0.133,0.022
0.117,0.019
0.12,0.019
0.157,0.023
0.117,0.018
0.12,0.021
0.121,0.021
0.09,0.016
0.098,0.015
0.084,0.016
0.082,0.015
0.068,0.014
0.076,0.015
0.087,0.014
0.077,0.015
0.078,0.015
0.112,0.018
0.102,0.019
0.082,0.015
0.098,0.019
0.073,0.014
0.077,0.016
0.087,0.017
0.08,0.015
0.068,0.013
0.078,0.015
0.074,0.014
0.065,0.013
0.09,0.017
0.072,0.013
0.077,0.015
0.071,0.014
0.075,0.015
0.077,0.015
0.075,0.014
0.07,0.013
0.071,0.013
0.073,0.013
0.069,0.012
0.072,0.013
0.071,0.013
0.075,0.014
0.075,0.014
0.07,0.013
0.073,0.013
0.073,0.014
0.078,0.015
0.071,0.013
0.079,0.014
0.077,0.015
0.069,0.014
0.073,0.014
0.077,0.014
0.068,0.013
0.074,0.015
0.079,0.015
0.075,0.014
0.074,0.014
0.071,0.014
0.073,0.014
0.072,0.015
0.071,0.013
0.072,0.013
0.078,0.014
0.074,0.013
0.08,0.016
