IN_IPOPT,IN_NLP
0.134,0.172
0.004,0.003
0.088,0.109
0.083,0.101
0.06,0.08
0.052,0.068
0.06,0.081
0.068,0.09
0.06,0.082
0.066,0.093
0.05,0.065
0.054,0.059
0.078,0.099
0.053,0.064
0.051,0.067
0.051,0.069
0.048,0.08
0.049,0.077
0.045,0.059
0.048,0.068
0.057,0.074
0.052,0.067
0.037,0.045
0.045,0.055
0.05,0.065
0.048,0.059
0.035,0.043
0.04,0.044
0.036,0.05
0.036,0.047
0.034,0.044
0.028,0.038
0.045,0.054
0.033,0.044
0.031,0.037
0.043,0.051
0.035,0.046
0.047,0.065
0.042,0.059
0.036,0.046
0.027,0.043
0.036,0.062
0.026,0.04
0.02,0.031
0.026,0.036
0.023,0.03
0.026,0.038
0.026,0.032
0.023,0.027
0.025,0.033
0.026,0.034
0.024,0.035
0.032,0.042
0.03,0.048
0.026,0.033
0.03,0.047
0.03,0.049
0.028,0.041
0.031,0.043
0.03,0.042
0.022,0.032
0.022,0.033
0.021,0.035
0.029,0.048
0.027,0.039
0.027,0.038
0.029,0.048
0.026,0.037
0.03,0.045
0.03,0.044
0.029,0.044
0.031,0.04
0.025,0.034
0.025,0.032
0.027,0.037
0.026,0.032
0.026,0.032
0.026,0.034
0.031,0.04
0.022,0.032
0.032,0.045
0.033,0.045
0.033,0.044
0.024,0.03
0.034,0.047
